specie,obj,ability,HP,Atk,Def,SpA,SpD,Spe,nature,iv_HP,iv_Atk,iv_Def,iv_SpA,iv_SpD,iv_Spe,move1,move2,move3,move4,teammate1,teammate2,teammate3,teammate4,teammate5
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Thunderbolt,Electroweb,Screech,Protect,Dragapult,Zacian-Crowned,Amoonguss,Incineroar,Rotom-Wash
Dragapult,Life Orb ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Dragon Darts,Phantom Force,Fly,Dragon Dance,Regieleki,Zacian-Crowned,Amoonguss,Incineroar,Rotom-Wash
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Behemoth Blade,Close Combat,Substitute,Protect,Regieleki,Dragapult,Amoonguss,Incineroar,Rotom-Wash
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Serious,31,0,31,31,31,0,Spore,Rage Powder,Pollen Puff,Protect,Regieleki,Dragapult,Zacian-Crowned,Incineroar,Rotom-Wash
Incineroar,Iapapa Berry ,Intimidate,0,0,4,0,0,0,Serious,31,31,31,31,31,31,Flare Blitz,Assurance,Fake Out,Parting Shot,Regieleki,Dragapult,Zacian-Crowned,Amoonguss,Rotom-Wash
Rotom-Wash,Sitrus Berry ,Levitate,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Hydro Pump,Thunderbolt,Will-O-Wisp,Nasty Plot,Regieleki,Dragapult,Zacian-Crowned,Amoonguss,Incineroar
Azumarill,Sitrus Berry ,Huge Power,0,0,0,0,0,0,,31,31,31,31,31,31,Belly Drum,Aqua Jet,Superpower,Play Rough,Porygon2,Indeedee-F,Groudon,Venusaur,Charizard
Porygon2,Eviolite ,Trace,0,0,0,0,0,0,,31,31,31,31,31,31,Trick Room,Eerie Impulse,Foul Play,Recover,Azumarill,Indeedee-F,Groudon,Venusaur,Charizard
Indeedee-F,Psychic Seed ,Psychic Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Follow Me,Helping Hand,Expanding Force,Safeguard,Azumarill,Porygon2,Groudon,Venusaur,Charizard
Groudon,White Herb ,,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Precipice Blades,Rock Slide,Fire Punch,Azumarill,Porygon2,Indeedee-F,Venusaur,Charizard
Venusaur,Focus Sash ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Weather Ball,Earth Power,Sleep Powder,Azumarill,Porygon2,Indeedee-F,Groudon,Charizard
Charizard,Life Orb ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Blast Burn,Heat Wave,Air Slash,Azumarill,Porygon2,Indeedee-F,Groudon,Venusaur
Calyrex-Ice,Weakness Policy ,As One (Glastrier),0,0,0,0,0,0,,31,31,31,31,31,31,Glacial Lance,Heavy Slam,High Horsepower,Trick Room,Incineroar,Tapu Fini,Mimikyu,Torkoal,Sableye
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Flare Blitz,Snarl,U-turn,Calyrex-Ice,Tapu Fini,Mimikyu,Torkoal,Sableye
Tapu Fini,Leftovers ,Misty Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Moonblast,Muddy Water,Calm Mind,Protect,Calyrex-Ice,Incineroar,Mimikyu,Torkoal,Sableye
Mimikyu,Mental Herb ,Disguise,0,0,0,0,0,0,,31,31,31,31,31,31,Shadow Sneak,Will-O-Wisp,Taunt,Trick Room,Calyrex-Ice,Incineroar,Tapu Fini,Torkoal,Sableye
Torkoal,Charcoal ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Eruption,Heat Wave,Body Press,Protect,Calyrex-Ice,Incineroar,Tapu Fini,Mimikyu,Sableye
Sableye,Focus Sash ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Quash,Shadow Sneak,Feint,Foul Play,Calyrex-Ice,Incineroar,Tapu Fini,Mimikyu,Torkoal
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Swords Dance,Protect,Lapras-Gmax,Thundurus,Moltres-Galar,Incineroar,Amoonguss
Lapras-Gmax,Life Orb ,Water Absorb,0,0,0,0,0,0,,31,31,31,31,31,31,Ice Beam,Hydro Pump,Thunder,Protect,Zacian-Crowned,Thundurus,Moltres-Galar,Incineroar,Amoonguss
Thundurus,Assault Vest ,Defiant,0,0,0,0,0,0,,31,31,31,31,31,31,Wild Charge,Fly,Superpower,Foul Play,Zacian-Crowned,Lapras-Gmax,Moltres-Galar,Incineroar,Amoonguss
Moltres-Galar,Safety Goggles ,Berserk,0,0,0,0,0,0,,31,31,31,31,31,31,Air Slash,Fiery Wrath,Nasty Plot,Protect,Zacian-Crowned,Lapras-Gmax,Thundurus,Incineroar,Amoonguss
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Flare Blitz,Parting Shot,Taunt,Zacian-Crowned,Lapras-Gmax,Thundurus,Moltres-Galar,Amoonguss
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,,31,31,31,31,31,31,Spore,Rage Powder,Pollen Puff,Protect,Zacian-Crowned,Lapras-Gmax,Thundurus,Moltres-Galar,Incineroar
Dragapult,Safety Goggles ,Clear Body,0,0,0,0,0,0,,31,31,31,31,31,31,Light Screen,Surf,Breaking Swipe,Phantom Force,Coalossal-Gmax,Rillaboom-Gmax,Urshifu-Rapid-Strike-Gmax,Yveltal,Incineroar
Coalossal-Gmax,Weakness Policy ,Steam Engin,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Earth Power,Meteor Beam,Heat Wave,Dragapult,Rillaboom-Gmax,Urshifu-Rapid-Strike-Gmax,Yveltal,Incineroar
Rillaboom-Gmax,Miracle Seed ,Grassy Surg,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Fake Out,High Horsepower,Grassy Glide,Dragapult,Coalossal-Gmax,Urshifu-Rapid-Strike-Gmax,Yveltal,Incineroar
Urshifu-Rapid-Strike-Gmax,Focus Sash ,Unseen Fis,0,0,0,0,0,0,,31,31,31,31,31,31,Detect,Close Combat,Aqua Jet,Surging Strikes,Dragapult,Coalossal-Gmax,Rillaboom-Gmax,Yveltal,Incineroar
Yveltal,Assault Vest ,Dark Aura,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Sucker Punch,Snarl,Oblivion Wing,Dragapult,Coalossal-Gmax,Rillaboom-Gmax,Urshifu-Rapid-Strike-Gmax,Incineroar
Incineroar,Sitrus Berry ,Intimidate ,0,0,0,0,0,0,,31,31,31,31,31,31,Taunt,Parting Shot,Fake Out,Flare Blitz,Dragapult,Coalossal-Gmax,Rillaboom-Gmax,Urshifu-Rapid-Strike-Gmax,Yveltal
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Parting Shot,Darkest Lariat,Flare Blitz,Fake Out,Venusaur,Charizard,Regieleki,Groudon,Clefairy
Venusaur,Life Orb ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Earth Power,Sludge Bomb,Sleep Powder,Incineroar,Charizard,Regieleki,Groudon,Clefairy
Charizard,Safety Goggles ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Heat Wave,Air Slash,Solar Beam,Protect,Incineroar,Venusaur,Regieleki,Groudon,Clefairy
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Protect,Volt Switch,Electroweb,Thunderbolt,Incineroar,Venusaur,Charizard,Groudon,Clefairy
Groudon,Assault Vest ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Fire Punch,Thunder Punch,Rock Slide,Precipice Blades,Incineroar,Venusaur,Charizard,Regieleki,Clefairy
Clefairy,Eviolite ,Friend Guard,0,0,0,0,0,0,,31,31,31,31,31,31,Follow Me,Helping Hand,Light Screen,Reflect,Incineroar,Venusaur,Charizard,Regieleki,Groudon
Venusaur-Gmax,Coba Berry ,Chlorophyll,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Frenzy Plant,Sludge Bomb,Weather Ball,Protect,Groudon,Incineroar,Celesteela,Thundurus,Tapu Fini
Groudon,Weakness Policy ,Drought,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Precipice Blades,Rock Slide,Swords Dance,Protect,Venusaur-Gmax,Incineroar,Celesteela,Thundurus,Tapu Fini
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Flare Blitz,Assurance,Fake Out,U-turn,Venusaur-Gmax,Groudon,Celesteela,Thundurus,Tapu Fini
Celesteela,Power Herb ,Beast Boost,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Flash Cannon,Flamethrower,Meteor Beam,Protect,Venusaur-Gmax,Groudon,Incineroar,Thundurus,Tapu Fini
Thundurus,Life Orb ,Defiant,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Wild Charge,Fly,Superpower,Protect,Venusaur-Gmax,Groudon,Incineroar,Celesteela,Tapu Fini
Tapu Fini,Sitrus Berry ,Misty Surge,0,0,0,0,0,0,-,31,31,31,31,31,31,Moonblast,Icy Wind,Haze,Venusaur-Gmax,Groudon,Incineroar,Celesteela,Thundurus
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Sacred Sword,Protect,Behemoth Blade,Substitute,Amoonguss,Urshifu-Rapid-Strike-Gmax,Dragapult,Incineroar,Coalossal-Gmax
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Bashful,31,0,31,31,31,31,Rage Powder,Spore,Protect,Pollen Puff,Zacian-Crowned,Urshifu-Rapid-Strike-Gmax,Dragapult,Incineroar,Coalossal-Gmax
Urshifu-Rapid-Strike-Gmax,Focus Sash ,Unseen Fist,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Close Combat,Aqua Jet,Surging Strikes,Detect,Zacian-Crowned,Amoonguss,Dragapult,Incineroar,Coalossal-Gmax
Dragapult,Choice Scarf ,Clear Body,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Fly,Dragon Darts,Surf,Phantom Force,Zacian-Crowned,Amoonguss,Urshifu-Rapid-Strike-Gmax,Incineroar,Coalossal-Gmax
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,Bashful,31,31,31,31,31,31,Fake Out,Parting Shot,Flare Blitz,Assurance,Zacian-Crowned,Amoonguss,Urshifu-Rapid-Strike-Gmax,Dragapult,Coalossal-Gmax
Coalossal-Gmax,Weakness Policy ,Steam Engine,0,0,0,0,0,0,Bashful,31,0,31,31,31,31,Heat Wave,Protect,Solar Beam,Meteor Beam,Zacian-Crowned,Amoonguss,Urshifu-Rapid-Strike-Gmax,Dragapult,Incineroar
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Charizard-Gmax,Venusaur-Gmax,Thundurus,Urshifu-Gmax,Sableye
Charizard-Gmax,Safety Goggles ,Solar Power,0,0,0,0,0,0,,31,31,31,31,31,31,Blast Burn,Air Slash,Ancient Power,Protect,Zacian-Crowned,Venusaur-Gmax,Thundurus,Urshifu-Gmax,Sableye
Venusaur-Gmax,Life Orb ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Sludge Bomb,Earth Power,Sleep Powder,Zacian-Crowned,Charizard-Gmax,Thundurus,Urshifu-Gmax,Sableye
Thundurus,Assault Vest ,Defiant,0,0,0,0,0,0,,31,31,31,31,31,31,Wild Charge,Fly,Superpower,Lash Out,Zacian-Crowned,Charizard-Gmax,Venusaur-Gmax,Urshifu-Gmax,Sableye
Urshifu-Gmax,Focus Sash ,Unseen Fist ,0,0,0,0,0,0,,31,31,31,31,31,31,Close Combat,Wicked Blow,Sucker Punch,Protect,Zacian-Crowned,Charizard-Gmax,Venusaur-Gmax,Thundurus,Sableye
Sableye,Mental Herb ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Quash,Will-O-Wisp,Sunny Day,Zacian-Crowned,Charizard-Gmax,Venusaur-Gmax,Thundurus,Urshifu-Gmax
Reshiram,Weakness Policy ,Turboblaze,0,0,0,0,0,0,,31,31,31,31,31,31,Blue Flare,Draco Meteor,Earth Power,Protect,Grimmsnarl-Gmax,Tapu Koko,Ferrothorn,Landorus-Therian,Porygon2
Grimmsnarl-Gmax,Light Clay ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Spirit Break,Light Screen,Reflect,Sucker Punch,Reshiram,Tapu Koko,Ferrothorn,Landorus-Therian,Porygon2
Tapu Koko,Assault Vest ,Electric Surge,0,0,0,0,0,0,-,31,31,31,31,31,31,Volt Switch,Electroweb,Dazzling Gleam,Reshiram,Grimmsnarl-Gmax,Ferrothorn,Landorus-Therian,Porygon2
Ferrothorn,Leftovers ,Iron Barbs,0,0,0,0,0,0,,31,31,31,31,31,31,Body Press,Leech Seed,Iron Defense,Protect,Reshiram,Grimmsnarl-Gmax,Tapu Koko,Landorus-Therian,Porygon2
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fly,Earthquake,Rock Slide,Swords Dance,Reshiram,Grimmsnarl-Gmax,Tapu Koko,Ferrothorn,Porygon2
Porygon2,Eviolite ,Trace,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Eerie Impulse,Recover,Trick Room,Reshiram,Grimmsnarl-Gmax,Tapu Koko,Ferrothorn,Landorus-Therian
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Taunt,Porygon2,Dialga,Tapu Fini,Incineroar,Nihilego
Porygon2,Eviolite ,Trace,0,0,0,0,0,0,,31,31,31,31,31,31,Eerie Impulse,Foul Play,Trick Room,Recover,Grimmsnarl,Dialga,Tapu Fini,Incineroar,Nihilego
Dialga,Life Orb ,Telepathy,0,0,0,0,0,0,,31,31,31,31,31,31,Roar of Time,Flash Cannon,Earth Power,Flamethrower,Grimmsnarl,Porygon2,Tapu Fini,Incineroar,Nihilego
Tapu Fini,Leftovers ,Misty Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Moonblast,Muddy Water,Calm Mind,Protect,Grimmsnarl,Porygon2,Dialga,Incineroar,Nihilego
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Fake Out,Flare Blitz,Parting Shot,Snarl,Grimmsnarl,Porygon2,Dialga,Tapu Fini,Nihilego
Nihilego,Focus Sash ,Beast Boost,0,0,0,0,0,0,,31,31,31,31,31,31,Power Gem,Sludge Bomb,Trick Room,Protect,Grimmsnarl,Porygon2,Dialga,Tapu Fini,Incineroar
Tornadus,Wacan Berry ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Hurricane,Tailwind,Taunt,Brutal Swing,Kyogre,Metagross,Zapdos,Amoonguss,Urshifu
Kyogre,Mystic Water ,Drizzle,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Water Spout,Origin Pulse,Thunder,Protect,Tornadus,Metagross,Zapdos,Amoonguss,Urshifu
Metagross,Weakness Policy ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Iron Head,Stomping Tantrum,Rock Slide,Protect,Tornadus,Kyogre,Zapdos,Amoonguss,Urshifu
Zapdos,Life Orb ,Static,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Thunderbolt,Hurricane,Heat Wave,Protect,Tornadus,Kyogre,Metagross,Amoonguss,Urshifu
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Pollen Puff,Spore,Rage Powder,Protect,Tornadus,Kyogre,Metagross,Zapdos,Urshifu
Urshifu,Focus Sash ,Unseen Fist,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Close Combat,Wicked Blow,Sucker Punch,Detect,Tornadus,Kyogre,Metagross,Zapdos,Amoonguss
Dialga,Weakness Policy ,Pressure,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Body Press,Flash Cannon,Earth Power,Trick Room,Togekiss,Ferrothorn,Entei,Urshifu-Gmax,Whimsicott
Togekiss,Safety Goggles ,Super Luck,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Follow Me,Helping Hand,Dazzling Gleam,Air Slash,Dialga,Ferrothorn,Entei,Urshifu-Gmax,Whimsicott
Ferrothorn,Leftovers ,Iron Barbs,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Iron Defense,Body Press,Protect,Leech Seed,Dialga,Togekiss,Entei,Urshifu-Gmax,Whimsicott
Entei,Assault Vest ,Inner Focus,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Sacred Fire,Stone Edge,Bulldoze,Extreme Speed,Dialga,Togekiss,Ferrothorn,Urshifu-Gmax,Whimsicott
Urshifu-Gmax,Focus Sash ,Unseen Fist,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Wicked Blow,Sucker Punch,Close Combat,Protect,Dialga,Togekiss,Ferrothorn,Entei,Whimsicott
Whimsicott,Lagging Tail ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Tailwind,Fake Tears,Moonblast,Switcheroo,Dialga,Togekiss,Ferrothorn,Entei,Urshifu-Gmax
Kyurem-White,Life Orb ,Turboblaze,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Draco Meteor,Ice Beam,Earth Power,Protect,Metagross,Sableye,Incineroar,Regieleki,Rillaboom
Metagross,Weakness Policy ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Iron Head,Stomping Tantrum,Rock Slide,Protect,Kyurem-White,Sableye,Incineroar,Regieleki,Rillaboom
Sableye,Safety Goggles ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Shadow Sneak,Quash,Taunt,Will-O-Wisp,Kyurem-White,Metagross,Incineroar,Regieleki,Rillaboom
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Flare Blitz,Snarl,Parting Shot,Fake Out,Kyurem-White,Metagross,Sableye,Regieleki,Rillaboom
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Eerie Impulse,Thunderbolt,Electroweb,Protect,Kyurem-White,Metagross,Sableye,Incineroar,Rillaboom
Rillaboom,Assault Vest ,Grassy Surge,0,0,0,0,0,0,,31,31,31,31,31,31,Grassy Glide,U-turn,Darkest Lariat,Fake Out,Kyurem-White,Metagross,Sableye,Incineroar,Regieleki
Zacian-Crowned,Rusted Sword ,Intrepid Sword ,0,0,0,0,0,0,,31,31,31,31,31,31,Behemoth Blade,Close Combat,Substitute,Protect,Thundurus,Kingdra,Politoed,Landorus-Therian,Urshifu-Gmax
Thundurus,Lum Berry ,Defiant ,0,0,0,0,0,0,,31,31,31,31,31,31,Wild Charge,Fly,Superpower,Taunt,Zacian-Crowned,Kingdra,Politoed,Landorus-Therian,Urshifu-Gmax
Kingdra,Life Orb ,Swift Swim,0,0,0,0,0,0,,31,31,31,31,31,31,Muddy Water ,Hurricane,Draco Meteor ,Protect,Zacian-Crowned,Thundurus,Politoed,Landorus-Therian,Urshifu-Gmax
Politoed,Eject Button ,Drizzle,0,0,0,0,0,0,,31,31,31,31,31,31,Scald ,Perish Song,Helping Hand,Protect ,Zacian-Crowned,Thundurus,Kingdra,Landorus-Therian,Urshifu-Gmax
Landorus-Therian,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Rock Slide ,Earthquake,Fly,U-turn,Zacian-Crowned,Thundurus,Kingdra,Politoed,Urshifu-Gmax
Urshifu-Gmax,Focus Sash ,Unseen Fist  ,0,0,0,0,0,0,,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Detect,Zacian-Crowned,Thundurus,Kingdra,Politoed,Landorus-Therian
Charizard,Life Orb ,Solar Power,0,0,0,0,0,0,,31,0,31,31,31,31,Air Slash,Blast Burn,Heat Wave,Protect,Venusaur,Umbreon,Incineroar,Regieleki,Groudon
Venusaur,Focus Sash ,Chlorophyll,0,0,0,0,0,0,,31,31,31,31,31,31,Leaf Storm,Weather Ball,Sludge Bomb,Sleep Powder,Charizard,Umbreon,Incineroar,Regieleki,Groudon
Umbreon,Leftovers ,Inner Focus,0,0,0,0,0,0,,31,31,31,31,31,31,Foul Play,Yawn,Moonlight,Snarl,Charizard,Venusaur,Incineroar,Regieleki,Groudon
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,,31,31,31,31,31,31,Flare Blitz,Fake Out,Darkest Lariat,U-turn,Charizard,Venusaur,Umbreon,Regieleki,Groudon
Regieleki,Magnet ,Transistor,0,0,0,0,0,0,,31,31,31,31,31,31,Electroweb,Thunderbolt,Eerie Impulse,Protect,Charizard,Venusaur,Umbreon,Incineroar,Groudon
Groudon,Sitrus Berry ,Drought,0,0,0,0,0,0,,31,31,31,31,31,31,Precipice Blades,Rock Slide,Swords Dance,Protect,Charizard,Venusaur,Umbreon,Incineroar,Regieleki
Lapras-Gmax,Light Clay ,Water Absorb,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Freeze-Dry,Hydro Pump,Perish Song,Protect,Amoonguss,Landorus-Therian,Incineroar,Regieleki,Zacian-Crowned
Amoonguss,Coba Berry ,Regenerator,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Pollen Puff,Spore,Rage Powder,Protect,Lapras-Gmax,Landorus-Therian,Incineroar,Regieleki,Zacian-Crowned
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Earthquake,Rock Slide,Fly,Swords Dance,Lapras-Gmax,Amoonguss,Incineroar,Regieleki,Zacian-Crowned
Incineroar,Sitrus Berry ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Flare Blitz,Fake Out,Parting Shot,Taunt,Lapras-Gmax,Amoonguss,Landorus-Therian,Regieleki,Zacian-Crowned
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Electroweb,Thunderbolt,Volt Switch,Protect,Lapras-Gmax,Amoonguss,Landorus-Therian,Incineroar,Zacian-Crowned
Zacian-Crowned,Rusted Sword ,Intrepid Sword,252,0,0,0,0,0,Serious,31,31,31,31,31,31,Behemoth Blade,Sacred Sword,Substitute,Protect,Lapras-Gmax,Amoonguss,Landorus-Therian,Incineroar,Regieleki
Venusaur-Gmax,Focus Sash ,Chlorophyll,0,0,0,0,0,0,Hitter,31,31,31,31,31,31,Sleep Powder,Leaf Storm,Earth Power,Weather Ball,Groudon,Incineroar,Charizard-Gmax,Umbreon,Regieleki
Groudon,Sitrus Berry ,Drought,0,0,0,0,0,0,Accurate,31,31,31,31,31,31,Protect,Swords Dance,Precipice Blades,Rock Slide,Venusaur-Gmax,Incineroar,Charizard-Gmax,Umbreon,Regieleki
Incineroar,Assault Vest ,Intimidate,0,0,0,0,0,0,IceCreamMaker,31,31,31,31,31,31,Fake Out,Flare Blitz,Darkest Lariat,U-turn,Venusaur-Gmax,Groudon,Charizard-Gmax,Umbreon,Regieleki
Charizard-Gmax,Life Orb ,Solar Power,0,0,0,0,0,0,Hot,31,31,31,31,31,31,Protect,Blast Burn,Hurricane,Heat Wave,Venusaur-Gmax,Groudon,Incineroar,Umbreon,Regieleki
Umbreon,Leftovers ,Inner Focus,0,0,0,0,0,0,Lunatic,31,31,31,31,31,31,Snarl,Foul Play,Moonlight,Yawn,Venusaur-Gmax,Groudon,Incineroar,Charizard-Gmax,Regieleki
Regieleki,Magnet ,Transistor,0,0,0,0,0,0,Sparky,31,31,31,31,31,31,Protect,Thunderbolt,Volt Switch,Electroweb,Venusaur-Gmax,Groudon,Incineroar,Charizard-Gmax,Umbreon
Calyrex-Shadow,Spell Tag ,As One (Spectrier),0,0,0,0,0,0,Serious,0,0,0,0,0,0,Astral Barrage,Psyshock,Substitute,Protect,Mimikyu,Regieleki,Thundurus,Weezing,Regigigas
Mimikyu,Pixie Plate ,Disguise,0,0,0,0,0,0,Serious,0,0,0,0,0,0,Play Rough,Will-O-Wisp,Taunt,Trick Room,Calyrex-Shadow,Regieleki,Thundurus,Weezing,Regigigas
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,Serious,0,0,0,0,0,0,Electroweb,Thunderbolt,Eerie Impulse,Protect,Calyrex-Shadow,Mimikyu,Thundurus,Weezing,Regigigas
Thundurus,Assault Vest ,Defiant,0,0,0,0,0,0,Serious,0,0,0,0,0,0,Fly,Wild Charge,Superpower,Crunch,Calyrex-Shadow,Mimikyu,Regieleki,Weezing,Regigigas
Weezing,Shuca Berry ,Neutralizing Gas,0,0,0,0,0,0,Serious,0,0,0,0,0,0,Sludge Bomb,Will-O-Wisp,Taunt,Protect,Calyrex-Shadow,Mimikyu,Regieleki,Thundurus,Regigigas
Regigigas,Life Orb ,Slow Start,0,0,0,0,0,0,Serious,0,0,0,0,0,0,Giga Impact,Darkest Lariat,Thunder Punch,Wide Guard,Calyrex-Shadow,Mimikyu,Regieleki,Thundurus,Weezing
Gastrodon,Rindo Berry ,Storm Drain,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Earth Power,Scald,Recover,Protect,Zacian-Crowned,Rillaboom,Rotom-Heat,Dragapult,Grimmsnarl
Zacian-Crowned,Rusted Sword ,Intrepid Sword,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Protect,Substitute,Behemoth Blade,Close Combat,Gastrodon,Rillaboom,Rotom-Heat,Dragapult,Grimmsnarl
Rillaboom,Miracle Seed ,Grassy Surge,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Grassy Glide,Wood Hammer,Fake Out,Protect,Gastrodon,Zacian-Crowned,Rotom-Heat,Dragapult,Grimmsnarl
Rotom-Heat,Safety Goggles ,Levitate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Thunderbolt,Overheat,Nasty Plot,Protect,Gastrodon,Zacian-Crowned,Rillaboom,Dragapult,Grimmsnarl
Dragapult,Focus Sash ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Will-O-Wisp,Dragon Darts,Fly,Phantom Force,Gastrodon,Zacian-Crowned,Rillaboom,Rotom-Heat,Grimmsnarl
Grimmsnarl,Light Clay ,Prankster,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Spirit Break,Taunt,Reflect,Light Screen,Gastrodon,Zacian-Crowned,Rillaboom,Rotom-Heat,Dragapult
Regieleki,Focus Sash ,Transistor,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Electroweb,Protect,Thunderbolt,Eerie Impulse,Landorus-Therian,Yveltal,Metagross,Lapras-Gmax,Incineroar
Landorus-Therian,Lum Berry ,Intimidate,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Swords Dance,Earthquake,Fly,Rock Slide,Regieleki,Yveltal,Metagross,Lapras-Gmax,Incineroar
Yveltal,Assault Vest ,Dark Aura,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Oblivion Wing,Dark Pulse,Heat Wave,Foul Play,Regieleki,Landorus-Therian,Metagross,Lapras-Gmax,Incineroar
Metagross,Weakness Policy ,Clear Body,0,0,0,0,0,0,Serious,31,31,31,31,31,31,Iron Head,Stomping Tantrum,Ice Punch,Protect,Regieleki,Landorus-Therian,Yveltal,Lapras-Gmax,Incineroar
Lapras-Gmax,Light Clay ,Water Absorb,0,0,0,0,0,0,Serious,31,0,31,31,31,31,Hydro Pump,Freeze-Dry,Protect,Thunder,Regieleki,Landorus-Therian,Yveltal,Metagross,Incineroar
